epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1599.14,1.84656,3.07981,0.01435,0.51019,0.44493,0.44129,0.21841,1.74732,1.86863,0.01658,0.00999432,0.00333144,0.00999432,0.00333144,0.0766799,0.070017,0.00999432,0.00333144
2,2995.98,1.80135,2.09942,0.01377,0.53206,0.47793,0.48003,0.2302,1.75042,1.76919,0.01683,0.0195984,0.00653281,0.0195984,0.00653281,0.0529507,0.0398851,0.0195984,0.00653281
3,4214.35,1.8627,2.18108,0.01466,0.46582,0.41683,0.39539,0.18285,1.84419,2.03997,0.01824,0.0288065,0.00960218,0.0288065,0.00960218,0.0288255,0.00962112,0.0288065,0.00960218
4,5431.39,1.89346,2.25305,0.01503,0.50174,0.46244,0.44966,0.21856,1.75321,1.85432,0.01707,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,6648.22,1.83164,2.10125,0.0143,0.55897,0.50156,0.51247,0.25943,1.69849,1.6919,0.01621,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,7866.6,1.79448,1.99632,0.01384,0.57215,0.52291,0.54655,0.28065,1.67246,1.60414,0.01585,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,9082.66,1.76401,1.91174,0.01345,0.59183,0.55454,0.57544,0.30051,1.64995,1.52036,0.01548,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,10299.1,1.74478,1.83903,0.01312,0.63407,0.55637,0.60625,0.32072,1.63082,1.44467,0.01521,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,11514,1.72018,1.78141,0.01295,0.63916,0.57398,0.61351,0.33042,1.61017,1.42489,0.01487,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,12727.3,1.70032,1.73629,0.01272,0.64827,0.57686,0.6269,0.34213,1.5953,1.39761,0.01459,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
